City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Tura,IN,71.8,broken clouds,25.52,90.22,Hotel RIKMAN Continental
204,Nabire,ID,78.08,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
205,Nador,MA,73.4,few clouds,35.17,-2.93,Airport hotel
209,Bubaque,GW,84.2,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
213,Cairns,AU,72.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
217,Lixourion,GR,73.4,few clouds,38.2,20.43,Summery Hotel
219,Isangel,VU,75.51,few clouds,-19.55,169.27,Volcano Sea View Tree House
223,Sarangani,PH,83.32,light rain,5.4,125.46,Ballistic Islet
224,Kibaha,TZ,80.6,broken clouds,-6.77,38.92,GOODJANETH GARDEN RESORT
227,Aras,ES,73.4,clear sky,42.56,-2.36,Jardines de Viana Spa
228,Montepuez,MZ,80.24,broken clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
230,Yenagoa,NG,85.24,moderate rain,4.92,6.26,Amba Hotels Limited
234,Banda Aceh,ID,80.85,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
236,Alice Springs,AU,78.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
237,Rodrigues Alves,BR,81.16,scattered clouds,-7.74,-72.65,Pousada Aconchego
240,Port Elizabeth,ZA,71.6,clear sky,-33.92,25.57,39 On Nile Guest House
245,Proddatur,IN,78.96,clear sky,14.73,78.55,Sri Swasthik Residency
246,Panaba,MX,76.59,broken clouds,21.28,-88.27,Hotel Amor
247,Tevaitoa,PF,79.7,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
250,Cabo San Lucas,MX,73.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
253,Porto Novo,BJ,87.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
254,Omboue,GA,75.42,moderate rain,-1.57,9.26,Hotel Olako
256,Tabou,CI,82.17,light rain,4.42,-7.35,hotêl doufoulougou
258,Gushikawa,JP,73.4,clear sky,26.35,127.87,Kirari Guest House
261,Teknaf,BD,76.51,light rain,20.86,92.31,Magnum Engineering & Construction
262,Kailua,US,73.4,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
263,Lorengau,PG,83.03,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
266,Maragheh,IR,73.4,clear sky,37.39,46.24,Maragheh Grand Hotel
268,Sao Paulo De Olivenca,BR,80.15,overcast clouds,-3.38,-68.87,
273,Bandarbeyla,SO,78.91,clear sky,9.49,50.81,REER XOOSHLE GROUP
